Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier
ORD1140,CUST342,Home,COD,12438.25,20,6,8.0,3.0,No,Tier 1
ORD1141,CUST180,Home,upi,444.7,30,4,8.0,4.0,No,Tier 1
ORD1142,CUST235,Home,Debit Card,2745.41,10,5,6.0,5.0,No,Tier 1
ORD1143,CUST262,Home,upi,548.48,15,6,4.0,,No,Tier 1
ORD1144,CUST262,Books,COD,2487.56,15,5,3.0,3.0,No,Tier 1
ORD1145,CUST132, Beauty ,Debit Card,2189.65,10,2,,1.0,No,Tier 2
ORD1146,CUST222,Fashion,UPI,736.06,20,7,3.0,2.0,No,Tier 1
ORD1147,CUST104,Fashion,UPI,791.39,50,5,6.0,4.0,No,Tier 2
ORD1148,CUST333,Home,Credit Card,2559.09,10,3,13.0,5.0,No,Tier 3
ORD1149,CUST330,Home,Debit Card,1128.3,20,7,8.0,1.0,No,Tier 2
ORD1150,CUST349,Electronics,UPI,2168.55,5,3,7.0,4.0,No,Tier 1
ORD1151,CUST140,Beauty,COD,440.23,10,6,11.0,4.0,No,Tier 1
ORD1152,CUST127,Books,upi,3071.48,20,7,1.0,2.0,Yes,Tier 3
ORD1153,CUST234,Fashion,COD,2061.39,10,5,11.0,4.0,No,Tier 2
ORD1154,CUST300, Electronics ,Credit Card,3761.81,10,7,6.0,3.0,No,Tier 3
ORD1155,CUST171,Electronics,Credit Card,412.99,50,6,7.0,4.0,Yes,Tier 3
ORD1156,CUST111,Fashion,Credit Card,1548.47,50,4,12.0,5.0,Yes,Tier 3
ORD1157,CUST261,Books,Debit Card,1571.14,20,3,7.0,4.0,No,Tier 3
ORD1158,CUST132, Electronics ,COD,854.18,20,6,9.0,2.0,Yes,Tier 2
ORD1159,CUST147,,upi,1120.03,0,4,11.0,,No,Tier 1
ORD1160,CUST346,Beauty,UPI,258.08,10,7,11.0,4.0,No,Tier 3
ORD1161,CUST250,Books,upi,2254.81,15,7,10.0,5.0,No,Tier 2
ORD1162,CUST161,Electronics,COD,1395.5,10,6,5.0,2.0,No,Tier 1
ORD1163,CUST315,Books,UPI,289.21,10,5,1.0,1.0,No,Tier 2
ORD1164,CUST136,Fashion,COD,1912.7,20,7,2.0,1.0,No,Tier 2
ORD1165,CUST198, Home ,UPI,1143.24,10,5,4.0,3.0,No,Tier 3
ORD1166,CUST271,Electronics,Credit Card,252.6,30,5,5.0,4.0,No,Tier 2
ORD1167,CUST203,Beauty,Debit Card,5440.35,10,5,9.0,,No,Tier 1
ORD1168,CUST313,,UPI,4667.2,30,2,,4.0,No,Tier 3
ORD1169,CUST318,Books,Debit Card,1278.94,50,4,1.0,3.0,Yes,Tier 3
ORD1170,CUST134,Fashion,Debit Card,347.53,15,4,3.0,4.0,No,Tier 2
ORD1171,CUST292,Electronics,UPI,2307.43,20,7,,2.0,Yes,Tier 1
ORD1172,CUST326, Books ,UPI,1215.71,10,7,3.0,4.0,No,Tier 1
ORD1173,CUST200,Home,UPI,740.27,30,5,4.0,4.0,Yes,Tier 2
ORD1174,CUST274, Fashion ,UPI,1214.19,30,2,14.0,5.0,No,Tier 1
ORD1175,CUST305,Electronics,UPI,1308.61,50,5,3.0,,No,Tier 1
ORD1176,CUST230,Beauty,UPI,1440.74,30,2,4.0,3.0,Yes,Tier 2
ORD1177,CUST100,Books,Credit Card,1073.01,5,5,14.0,4.0,No,Tier 2
ORD1178,CUST104,Fashion,UPI,1596.18,0,3,13.0,,No,Tier 1
ORD1179,CUST317,Fashion,Credit Card,3965.05,15,3,13.0,5.0,No,Tier 1
ORD1180,CUST346,Home,Debit Card,874.76,50,6,1.0,4.0,No,Tier 1
ORD1181,CUST241,Home,COD,2140.39,50,5,12.0,,No,Tier 2
ORD1182,CUST202,Beauty,,3572.89,10,7,8.0,2.0,No,Tier 1
ORD1183,CUST126,Beauty,UPI,1113.15,5,4,4.0,,No,Tier 1
ORD1184,CUST236,Electronics,upi,1079.01,10,6,7.0,2.0,No,Tier 2
ORD1185,CUST306,Electronics,COD,1582.4,10,7,2.0,4.0,No,Tier 3
ORD1186,CUST114,Beauty,upi,1542.55,20,3,2.0,5.0,No,Tier 2
ORD1187,CUST189,Beauty,COD,2664.41,20,5,6.0,3.0,No,Tier 1
ORD1188,CUST141,Books,Credit Card,1170.78,20,6,14.0,4.0,Yes,Tier 1
ORD1189,CUST223,Home,Credit Card,8529.02,5,5,2.0,4.0,No,Tier 3
ORD1190,CUST304,Electronics,UPI,291.97,10,3,6.0,,No,Tier 1
ORD1191,CUST278,Home,Credit Card,204.76,0,6,11.0,5.0,No,Tier 2
ORD1192,CUST162,Home,UPI,1733.3,15,3,2.0,5.0,Yes,Tier 1
ORD1193,CUST195,Beauty,UPI,731.66,20,2,4.0,4.0,No,Tier 1
ORD1194,CUST330,Books,UPI,612.41,20,3,7.0,5.0,No,Tier 3
ORD1195,CUST340,Fashion,Debit Card,760.73,50,5,8.0,4.0,No,Tier 2
ORD1196,CUST151,Books,Debit Card,643.67,10,4,3.0,4.0,No,Tier 2
ORD1197,CUST195,Books,UPI,246.91,10,3,14.0,5.0,No,Tier 1
ORD1198,CUST231,Home,COD,5538.52,5,7,13.0,4.0,No,Tier 1
ORD1199,CUST321,Books,UPI,574.13,5,4,9.0,2.0,No,Tier 2
ORD1200,CUST328,Electronics,COD,2186.56,20,2,2.0,2.0,No,Tier 2
ORD1201,CUST250,,Credit Card,2356.99,10,6,8.0,2.0,No,Tier 1
ORD1202,CUST330,,upi,4173.06,0,6,8.0,5.0,No,Tier 1
ORD1203,CUST336, Fashion ,Debit Card,246.54,15,4,13.0,4.0,No,Tier 1
ORD1204,CUST242,Home,UPI,3284.15,10,6,14.0,5.0,Yes,Tier 3
ORD1205,CUST270,Fashion,Credit Card,1323.71,50,3,,4.0,Yes,Tier 2
ORD1206,CUST128,Home,UPI,1701.73,10,4,1.0,3.0,No,Tier 3
ORD1207,CUST135,Beauty,Credit Card,1751.22,30,5,13.0,4.0,No,Tier 1
ORD1208,CUST112,Books,Credit Card,2770.51,5,3,,5.0,No,Tier 3
ORD1209,CUST259,Beauty,Debit Card,808.36,50,3,2.0,4.0,No,Tier 1
ORD1210,CUST170,Fashion,UPI,2181.05,15,3,14.0,,Yes,Tier 2
ORD1211,CUST286,Books,Debit Card,1328.0,20,5,12.0,5.0,No,Tier 3
ORD1212,CUST342,Home,,2565.41,50,2,14.0,4.0,No,Tier 1
ORD1213,CUST185,Books,UPI,7191.98,10,7,9.0,4.0,No,Tier 1
ORD1214,CUST127,Electronics,UPI,535.94,20,6,13.0,,No,Tier 1
ORD1215,CUST165, Books ,Credit Card,8045.61,10,4,2.0,5.0,No,Tier 1
ORD1216,CUST269, Electronics ,Debit Card,341.16,20,2,2.0,1.0,No,Tier 2
ORD1217,CUST144,Books,UPI,203.48,15,4,6.0,4.0,No,
ORD1218,CUST161,Electronics,upi,267.75,5,6,7.0,5.0,No,Tier 2
ORD1219,CUST284,Fashion,COD,827.33,15,5,13.0,5.0,No,Tier 2
ORD1220,CUST344,Beauty,UPI,1703.21,30,3,7.0,3.0,Yes,Tier 2
ORD1221,CUST233,Home,Credit Card,307.29,0,3,13.0,5.0,Yes,Tier 1
ORD1222,CUST127,Books,COD,208.52,5,5,9.0,,Yes,Tier 1
ORD1223,CUST127, Beauty ,COD,4349.1,15,2,6.0,3.0,No,
ORD1224,CUST207,Home,,2788.34,30,2,14.0,5.0,No,Tier 1
ORD1225,CUST143,Home,Credit Card,2684.66,0,4,8.0,2.0,No,Tier 2
ORD1226,CUST183,Electronics,COD,3436.74,30,5,11.0,2.0,No,Tier 1
ORD1227,CUST129,Fashion,Credit Card,2006.13,10,2,6.0,2.0,No,Tier 2
ORD1228,CUST289,Fashion,upi,365.4,10,5,2.0,2.0,No,Tier 2
ORD1229,CUST174,Beauty,UPI,963.99,20,6,1.0,5.0,No,Tier 1
ORD1230,CUST227,Fashion,Credit Card,2126.42,5,3,5.0,2.0,No,Tier 1
ORD1231,CUST349,Books,COD,693.45,10,3,14.0,3.0,No,Tier 2
ORD1232,CUST346,Fashion,UPI,1944.28,50,3,9.0,2.0,No,Tier 1
ORD1233,CUST191,Beauty,UPI,237.21,30,5,8.0,3.0,No,Tier 1
ORD1234,CUST316,Fashion,Credit Card,748.22,5,5,14.0,2.0,No,Tier 2
ORD1235,CUST330,Books,Credit Card,1394.87,50,4,13.0,5.0,No,Tier 1
ORD1236,CUST289,Electronics,Debit Card,1699.87,10,3,4.0,3.0,No,Tier 3
ORD1237,CUST324,Beauty,UPI,1490.72,20,4,,5.0,No,Tier 2
ORD1238,CUST228,Electronics,UPI,1994.78,15,3,13.0,5.0,Yes,Tier 1
ORD1239,CUST220,Electronics,COD,209.16,20,4,5.0,1.0,No,Tier 2
ORD1240,CUST126,Electronics,Debit Card,359.61,50,4,6.0,5.0,No,Tier 2
ORD1241,CUST289, Home ,,3248.2,0,6,3.0,1.0,No,Tier 1
ORD1242,CUST220,Home,UPI,1917.37,10,4,5.0,3.0,No,Tier 1
ORD1243,CUST215, Electronics ,upi,379.75,50,5,2.0,1.0,No,Tier 1
ORD1244,CUST304,Beauty,COD,2968.45,0,4,,4.0,No,Tier 1
ORD1245,CUST332,Books,UPI,616.07,0,3,1.0,4.0,No,Tier 1
ORD1246,CUST102,Books,Credit Card,1175.88,30,4,11.0,5.0,No,Tier 1
ORD1247,CUST202,Fashion,UPI,435.33,5,2,1.0,4.0,No,Tier 1
ORD1248,CUST297,Beauty,Debit Card,2057.38,30,7,10.0,5.0,Yes,Tier 2
ORD1249,CUST299,Home,COD,1848.76,10,3,7.0,3.0,Yes,Tier 2
ORD1250,CUST254,Electronics,Debit Card,555.7,0,2,2.0,5.0,Yes,Tier 2
ORD1251,CUST236,Fashion,COD,3186.06,50,3,4.0,3.0,No,Tier 2
ORD1252,CUST161,Books,COD,969.51,15,5,5.0,3.0,No,Tier 3
ORD1253,CUST264,Home,Credit Card,719.06,0,7,7.0,3.0,No,Tier 2
ORD1254,CUST324,Home,UPI,447.9,50,7,2.0,3.0,No,Tier 2
ORD1255,CUST150,Electronics,Credit Card,664.21,15,5,14.0,4.0,No,Tier 1
ORD1256,CUST333,Books,Credit Card,233.41,30,7,6.0,5.0,No,Tier 3
ORD1257,CUST271,Beauty,COD,1512.93,30,5,1.0,2.0,No,Tier 1
ORD1258,CUST251, Home ,UPI,2969.93,5,2,7.0,5.0,No,Tier 1
ORD1259,CUST306,Electronics,UPI,1394.37,50,6,9.0,5.0,No,Tier 2
ORD1260,CUST158,Beauty,Credit Card,571.3,0,3,5.0,5.0,No,Tier 1
ORD1261,CUST217,Books,UPI,251.37,20,5,5.0,3.0,No,Tier 1
ORD1262,CUST259,Home,Credit Card,562.4,30,3,4.0,4.0,No,Tier 2
ORD1263,CUST195,Beauty,Credit Card,1007.09,30,2,3.0,,Yes,
ORD1264,CUST315,,Debit Card,2338.25,5,6,9.0,5.0,No,Tier 2
ORD1265,CUST332,Beauty,Credit Card,512.09,15,2,5.0,4.0,No,Tier 3
ORD1266,CUST279,Home,Debit Card,2108.33,5,7,8.0,3.0,No,Tier 1
ORD1267,CUST212,Home,Credit Card,3225.36,0,3,9.0,3.0,No,Tier 1
ORD1268,CUST161,Fashion,Credit Card,1107.56,50,6,5.0,4.0,No,Tier 2
ORD1269,CUST340,Books,Credit Card,2784.18,10,7,10.0,5.0,No,Tier 1
ORD1270,CUST285,Electronics,UPI,1413.37,10,6,9.0,2.0,No,Tier 2
ORD1271,CUST151,Beauty,Debit Card,1720.4,50,7,2.0,4.0,No,
ORD1272,CUST111,Fashion,UPI,1320.7,15,2,9.0,4.0,No,Tier 2
ORD1273,CUST138,Electronics,UPI,1133.12,30,5,11.0,4.0,No,Tier 2
ORD1274,CUST229,Fashion,Debit Card,601.14,15,3,4.0,5.0,No,Tier 2
ORD1275,CUST230, Home ,Credit Card,741.87,30,4,6.0,5.0,No,Tier 2
ORD1276,CUST212,Beauty,UPI,713.67,30,4,6.0,4.0,Yes,Tier 2
ORD1277,CUST200,Electronics,COD,1442.73,10,2,6.0,5.0,No,Tier 1
ORD1278,CUST212,Electronics,Debit Card,391.67,15,3,2.0,3.0,No,Tier 1
ORD1279,CUST283,Electronics,UPI,3929.61,5,3,7.0,3.0,No,Tier 1
ORD1280,CUST180,Electronics,upi,2112.96,30,2,13.0,3.0,No,Tier 1
ORD1281,CUST286,Electronics,COD,969.86,20,3,6.0,2.0,No,Tier 1
ORD1282,CUST212,Fashion,Credit Card,459.08,20,5,11.0,3.0,No,Tier 2
ORD1283,CUST101,,Debit Card,3405.51,5,2,14.0,2.0,Yes,Tier 1
ORD1284,CUST229,Home,UPI,2804.02,20,5,1.0,5.0,No,Tier 2
ORD1285,CUST319,Home,UPI,2118.7,0,3,,3.0,No,Tier 3
ORD1286,CUST153,Home,UPI,675.25,30,2,7.0,5.0,No,Tier 1
ORD1287,CUST186,Home,UPI,972.37,5,3,1.0,1.0,No,Tier 1
ORD1288,CUST328,Fashion,Debit Card,362.63,15,2,1.0,,No,Tier 1
ORD1289,CUST323,Books,UPI,514.3,30,3,1.0,5.0,No,Tier 2
ORD1290,CUST324,Beauty,COD,2491.9,5,5,,1.0,No,Tier 1
ORD1291,CUST228,Electronics,Debit Card,2083.1,10,5,,5.0,Yes,Tier 1
ORD1292,CUST246, Books ,Credit Card,1550.2,15,3,4.0,4.0,No,Tier 2
ORD1293,CUST225,Home,Debit Card,3591.11,10,2,13.0,5.0,No,Tier 1
ORD1294,CUST229,Books,,1512.96,30,4,2.0,4.0,Yes,Tier 2
ORD1295,CUST152,Beauty,,1143.76,15,5,11.0,4.0,No,Tier 2
ORD1296,CUST271,Electronics,Debit Card,824.12,20,5,11.0,5.0,No,Tier 2
ORD1297,CUST317,Electronics,,4431.37,5,7,11.0,4.0,No,Tier 1
ORD1298,CUST259,Beauty,UPI,329.51,30,4,1.0,1.0,No,Tier 3
ORD1299,CUST297,Beauty,Credit Card,4208.03,0,3,12.0,5.0,No,Tier 2
ORD1300,CUST259, Home ,Credit Card,2829.22,15,2,10.0,4.0,No,Tier 1
ORD1301,CUST346,Electronics,UPI,408.77,15,7,9.0,4.0,No,Tier 1
ORD1302,CUST167,Books,UPI,1448.56,50,3,7.0,1.0,No,Tier 1
ORD1303,CUST282,Fashion,upi,3221.02,30,6,4.0,4.0,Yes,Tier 3
ORD1304,CUST302,Fashion,UPI,1472.28,30,5,12.0,,No,Tier 3
ORD1305,CUST283,Beauty,UPI,3765.96,10,6,6.0,3.0,No,Tier 2
ORD1306,CUST222,Home,UPI,4496.63,50,5,14.0,4.0,No,Tier 3
ORD1307,CUST244,Fashion,Credit Card,1023.27,20,5,2.0,5.0,No,Tier 1
ORD1308,CUST137,Electronics,upi,910.57,10,6,7.0,5.0,No,Tier 1
ORD1309,CUST123, Beauty ,Debit Card,4330.85,50,6,2.0,4.0,No,Tier 3
ORD1310,CUST168,Books,COD,1886.54,10,3,10.0,4.0,No,Tier 2
ORD1311,CUST215,Beauty,Credit Card,384.99,20,7,8.0,,No,Tier 2
ORD1312,CUST197,Books,UPI,264.82,50,7,,5.0,No,Tier 2
