Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,Net_Revenue,Customer_Segmentation
ORD1027,CUST229,Electronics,UPI,780.88,15,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,663.75,Standard Order
ORD1028,CUST291,Beauty,UPI,2278.55,0,3,7.0,3.0,No,Tier 1,4.0,Severe Delay,Normal Order,2278.55,Standard Order
ORD1029,CUST287,Electronics,COD,998.27,50,4,7.0,5.0,No,Tier 2,3.0,Severe Delay,Normal Order,499.14,Standard Order
ORD1030,CUST120,Electronics,DEBIT CARD,1758.1,15,2,7.0,4.0,No,Tier 1,5.0,Severe Delay,Normal Order,1494.38,Loyal & Satisfied
ORD1031,CUST260,Home,DEBIT CARD,1759.6,30,5,7.0,4.0,Yes,Tier 3,2.0,Unknown Status,Normal Order,1231.72,High Risk Transaction
ORD1032,CUST303, Beauty ,COD,3484.41,20,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,2787.53,Loyal & Satisfied
ORD1033,CUST157,Beauty,UPI,1569.54,5,7,7.0,3.0,No,Tier 1,0.0,On-Time,Normal Order,1491.06,Standard Order
ORD1034,CUST121,Books,UPI,1246.2,0,2,7.0,4.0,Yes,Tier 2,5.0,Severe Delay,Normal Order,1246.2,Standard Order
ORD1035,CUST335,Electronics,UPI,424.27,50,3,7.0,5.0,No,Tier 2,4.0,Severe Delay,Normal Order,212.14,Standard Order
ORD1036,CUST188,Electronics,UPI,384.5,50,2,7.0,3.0,No,Tier 1,5.0,Severe Delay,Normal Order,192.25,Standard Order
ORD1037,CUST148,Fashion,CREDIT CARD,451.42,10,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,406.28,Standard Order
ORD1038,CUST318,Books,UPI,482.84,20,2,7.0,4.0,No,Tier 1,5.0,Severe Delay,Normal Order,386.27,Standard Order
ORD1039,CUST158,Fashion,DEBIT CARD,1723.66,5,2,7.0,4.0,No,Tier 3,5.0,Severe Delay,Normal Order,1637.48,Loyal & Satisfied
ORD1040,CUST269,Fashion,UPI,2226.28,15,3,7.0,5.0,No,Tier 3,4.0,Severe Delay,Normal Order,1892.34,Loyal & Satisfied
ORD1041,CUST319,Fashion,COD,1332.51,5,4,7.0,5.0,No,Tier 1,3.0,Severe Delay,Normal Order,1265.88,Loyal & Satisfied
ORD1042,CUST287,Home,DEBIT CARD,2849.29,20,6,7.0,4.0,No,Tier 3,1.0,Unknown Status,Normal Order,2279.43,Loyal & Satisfied
ORD1043,CUST307,Home,UPI,7310.32,20,6,7.0,1.0,Yes,Tier 1,1.0,Unknown Status,High Value Order,5848.26,Standard Order
ORD1044,CUST114,Fashion,CREDIT CARD,2772.3,30,5,7.0,4.0,No,Tier 1,2.0,Unknown Status,Normal Order,1940.61,Loyal & Satisfied
ORD1045,CUST289,Books,UPI,1980.59,30,7,7.0,4.0,Yes,Tier 3,0.0,On-Time,Normal Order,1386.41,High Risk Transaction
ORD1046,CUST289,Electronics,UPI,1340.51,5,2,7.0,1.0,No,Tier 2,5.0,Severe Delay,Normal Order,1273.48,Standard Order
ORD1048,CUST289,Beauty,COD,332.25,5,3,7.0,4.0,No,Tier 1,4.0,Severe Delay,Normal Order,315.64,Standard Order
ORD1050,CUST207,Electronics,COD,3814.16,20,2,7.0,4.0,No,Tier 3,5.0,Severe Delay,Normal Order,3051.33,Loyal & Satisfied
ORD1051,CUST154,Electronics,UPI,2675.57,10,3,7.0,2.0,No,Tier 1,4.0,Severe Delay,Normal Order,2408.01,Standard Order
ORD1052,CUST343,Beauty,DEBIT CARD,565.12,30,7,7.0,4.0,Yes,Tier 1,0.0,On-Time,Normal Order,395.58,High Risk Transaction
ORD1053,CUST163,Beauty,DEBIT CARD,1142.75,10,3,7.0,3.0,No,Tier 2,4.0,Severe Delay,Normal Order,1028.48,Standard Order
ORD1054,CUST348,Fashion,UPI,2745.14,0,2,7.0,4.0,No,Tier 2,5.0,Severe Delay,Normal Order,2745.14,Loyal & Satisfied
ORD1055,CUST230,Home,UPI,304.64,20,7,7.0,4.0,Yes,Tier 2,0.0,On-Time,Normal Order,243.71,Standard Order
ORD1056,CUST328,Home,UPI,935.05,10,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,841.54,Standard Order
ORD1057,CUST150, Books ,CREDIT CARD,3064.21,5,7,7.0,2.0,Yes,Tier 1,0.0,On-Time,Normal Order,2911.0,Standard Order
ORD1058,CUST234,Fashion,UPI,976.01,30,2,7.0,4.0,No,Tier 1,5.0,Severe Delay,Normal Order,683.21,Standard Order
ORD1059,CUST120, Fashion ,CREDIT CARD,321.19,30,2,7.0,4.0,Yes,Tier 3,5.0,Severe Delay,Normal Order,224.83,High Risk Transaction
ORD1060,CUST172,Fashion,UPI,1373.08,15,7,7.0,3.0,Yes,Tier 1,0.0,On-Time,Normal Order,1167.12,Standard Order
ORD1061,CUST266,Fashion,UPI,3167.96,5,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,3009.56,Loyal & Satisfied
ORD1062,CUST117,Home,UPI,1538.44,15,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,1307.67,Loyal & Satisfied
ORD1063,CUST231,Home,DEBIT CARD,584.82,10,3,7.0,4.0,Yes,Tier 3,4.0,Severe Delay,Normal Order,526.34,Standard Order
ORD1064,CUST188,Fashion,CREDIT CARD,927.35,50,3,7.0,1.0,No,Tier 3,4.0,Severe Delay,Normal Order,463.68,Standard Order
ORD1065,CUST159,Books,DEBIT CARD,1097.09,0,4,7.0,3.0,Yes,Tier 1,3.0,Severe Delay,Normal Order,1097.09,Standard Order
ORD1067,CUST341,Electronics,UPI,2336.62,5,4,7.0,4.0,Yes,Tier 2,3.0,Severe Delay,Normal Order,2219.79,Standard Order
ORD1068,CUST349,Books,COD,356.16,5,6,7.0,3.0,No,Tier 1,1.0,Unknown Status,Normal Order,338.35,Standard Order
ORD1069,CUST108,Fashion,CREDIT CARD,3506.17,15,6,7.0,3.0,No,Tier 2,1.0,Unknown Status,Normal Order,2980.24,Standard Order
ORD1070,CUST189,Home,UPI,218.58,10,7,7.0,4.0,Yes,Tier 2,0.0,On-Time,Normal Order,196.72,Standard Order
ORD1071,CUST152,Electronics,UPI,893.18,5,6,7.0,4.0,No,Tier 3,1.0,Unknown Status,Normal Order,848.52,Standard Order
ORD1072,CUST229,Beauty,UPI,241.7,50,2,7.0,1.0,No,Tier 1,5.0,Severe Delay,Normal Order,120.85,Standard Order
ORD1074,CUST191,Books,CREDIT CARD,1319.23,30,3,7.0,4.0,No,Tier 1,4.0,Severe Delay,Normal Order,923.46,Standard Order
ORD1075,CUST210,Fashion,COD,1275.18,0,5,7.0,3.0,No,Tier 2,2.0,Unknown Status,Normal Order,1275.18,Standard Order
ORD1076,CUST287,Electronics,UPI,471.61,30,2,7.0,4.0,No,Tier 1,5.0,Severe Delay,Normal Order,330.13,Standard Order
ORD1077,CUST298,Fashion,UPI,1756.59,30,3,7.0,4.0,No,Tier 2,4.0,Severe Delay,Normal Order,1229.61,Loyal & Satisfied
ORD1078,CUST271,Electronics,UPI,268.72,0,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,268.72,Standard Order
ORD1079,CUST107,Books,DEBIT CARD,2352.64,50,7,7.0,5.0,No,Tier 3,0.0,On-Time,Normal Order,1176.32,Loyal & Satisfied
ORD1081,CUST134,Beauty,UPI,822.75,30,4,7.0,5.0,No,Tier 3,3.0,Severe Delay,Normal Order,575.92,Standard Order
ORD1082,CUST305,Fashion,UPI,1292.35,10,2,7.0,3.0,No,Tier 1,5.0,Severe Delay,Normal Order,1163.12,Standard Order
ORD1083,CUST180,Beauty,UPI,914.42,30,4,7.0,4.0,No,Tier 3,3.0,Severe Delay,Normal Order,640.09,Standard Order
ORD1084,CUST263,Fashion,CREDIT CARD,210.1,20,3,7.0,4.0,Yes,Tier 2,4.0,Severe Delay,Normal Order,168.08,Standard Order
ORD1085,CUST149,Beauty,UPI,931.33,0,4,7.0,3.0,No,Tier 1,3.0,Severe Delay,Normal Order,931.33,Standard Order
ORD1086,CUST203,Home,UPI,2553.31,30,6,7.0,3.0,No,Tier 1,1.0,Unknown Status,Normal Order,1787.32,Standard Order
ORD1088,CUST101, Home ,UPI,360.14,15,3,7.0,4.0,Yes,Tier 1,4.0,Severe Delay,Normal Order,306.12,Standard Order
ORD1089,CUST233,Home,UPI,3017.34,20,7,7.0,3.0,No,Tier 2,0.0,On-Time,Normal Order,2413.87,Standard Order
ORD1090,CUST153,Electronics,COD,1336.0,5,2,7.0,3.0,No,Tier 3,5.0,Severe Delay,Normal Order,1269.2,Standard Order
ORD1091,CUST205,Home,DEBIT CARD,2965.12,30,5,7.0,4.0,No,Tier 1,2.0,Unknown Status,Normal Order,2075.58,Loyal & Satisfied
ORD1092,CUST103, Books ,UPI,1502.04,20,4,7.0,5.0,No,Tier 2,3.0,Severe Delay,Normal Order,1201.63,Loyal & Satisfied
ORD1093,CUST153,Books,COD,1430.41,10,3,7.0,2.0,No,Tier 3,4.0,Severe Delay,Normal Order,1287.37,Standard Order
ORD1094,CUST320,Electronics,UPI,366.83,15,5,7.0,4.0,Yes,Tier 1,2.0,Unknown Status,Normal Order,311.81,Standard Order
ORD1095,CUST290,Home,UPI,474.73,50,5,7.0,5.0,Yes,Tier 3,2.0,Unknown Status,Normal Order,237.36,High Risk Transaction
ORD1096,CUST245,Home,CREDIT CARD,5564.68,30,6,7.0,4.0,No,Tier 2,1.0,Unknown Status,High Value Order,3895.28,Loyal & Satisfied
ORD1097,CUST317,Home,UPI,589.1,5,5,7.0,5.0,Yes,Tier 2,2.0,Unknown Status,Normal Order,559.64,Standard Order
ORD1099,CUST261, Fashion ,CREDIT CARD,1338.65,20,3,7.0,4.0,No,Tier 2,4.0,Severe Delay,Normal Order,1070.92,Loyal & Satisfied
ORD1100,CUST301, Beauty ,CREDIT CARD,418.91,50,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,209.46,Standard Order
ORD1101,CUST289,Fashion,DEBIT CARD,356.88,50,4,7.0,2.0,Yes,Tier 2,3.0,Severe Delay,Normal Order,178.44,High Risk Transaction
ORD1102,CUST327, Home ,CREDIT CARD,551.43,15,4,7.0,3.0,No,Tier 1,3.0,Severe Delay,Normal Order,468.72,Standard Order
ORD1103,CUST113,Home,CREDIT CARD,4098.2,50,4,7.0,4.0,No,Tier 3,3.0,Severe Delay,Normal Order,2049.1,Loyal & Satisfied
ORD1104,CUST194,Beauty,CREDIT CARD,1002.04,50,7,7.0,3.0,No,Tier 1,0.0,On-Time,Normal Order,501.02,Standard Order
ORD1105,CUST147,Beauty,CREDIT CARD,954.87,30,5,7.0,4.0,Yes,Tier 1,2.0,Unknown Status,Normal Order,668.41,High Risk Transaction
ORD1106,CUST114,Fashion,UPI,763.58,15,5,7.0,3.0,No,Tier 2,2.0,Unknown Status,Normal Order,649.04,Standard Order
ORD1108,CUST305,Fashion,UPI,1203.71,20,7,7.0,4.0,No,Tier 2,0.0,On-Time,Normal Order,962.97,Standard Order
ORD1109,CUST314,Beauty,UPI,408.98,15,4,7.0,5.0,No,Tier 3,3.0,Severe Delay,Normal Order,347.63,Standard Order
ORD1110,CUST348, Beauty ,DEBIT CARD,2907.09,15,2,7.0,4.0,No,Tier 2,5.0,Severe Delay,Normal Order,2471.03,Loyal & Satisfied
ORD1111,CUST289,Electronics,CREDIT CARD,894.0,0,6,7.0,4.0,No,Tier 1,1.0,Unknown Status,Normal Order,894.0,Standard Order
ORD1112,CUST139,Beauty,UPI,904.53,15,2,7.0,5.0,No,Tier 2,5.0,Severe Delay,Normal Order,768.85,Standard Order
ORD1113,CUST312,Electronics,UPI,1163.7,0,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,1163.7,Standard Order
ORD1114,CUST307,Books,UPI,1080.83,20,6,7.0,4.0,No,Tier 3,1.0,Unknown Status,Normal Order,864.66,Standard Order
ORD1115,CUST336, Fashion ,CREDIT CARD,8105.46,50,6,7.0,4.0,Yes,Tier 1,1.0,Unknown Status,High Value Order,4052.73,High Risk Transaction
ORD1116,CUST181, Fashion ,UPI,1382.44,30,3,7.0,5.0,No,Tier 2,4.0,Severe Delay,Normal Order,967.71,Loyal & Satisfied
ORD1118,CUST152,Fashion,UPI,1600.45,20,5,7.0,4.0,Yes,Tier 1,2.0,Unknown Status,Normal Order,1280.36,Standard Order
ORD1119,CUST123,Beauty,CREDIT CARD,446.58,20,7,7.0,3.0,No,Tier 1,0.0,On-Time,Normal Order,357.26,Standard Order
ORD1120,CUST253,Home,CREDIT CARD,247.14,10,6,7.0,4.0,No,Tier 1,1.0,Unknown Status,Normal Order,222.43,Standard Order
ORD1121,CUST316,Electronics,CREDIT CARD,5497.41,50,5,7.0,5.0,No,Tier 3,2.0,Unknown Status,High Value Order,2748.7,Loyal & Satisfied
ORD1122,CUST287,Fashion,UPI,2427.77,20,6,7.0,5.0,No,Tier 3,1.0,Unknown Status,Normal Order,1942.22,Loyal & Satisfied
ORD1123,CUST223,Electronics,DEBIT CARD,6076.23,15,7,7.0,5.0,Yes,Tier 2,0.0,On-Time,High Value Order,5164.8,Standard Order
ORD1124,CUST336,Electronics,CREDIT CARD,1174.78,30,7,7.0,4.0,No,Tier 1,0.0,On-Time,Normal Order,822.35,Standard Order
ORD1125,CUST140,Home,CREDIT CARD,1339.76,5,3,7.0,4.0,Yes,Tier 1,4.0,Severe Delay,Normal Order,1272.77,Standard Order
ORD1126,CUST256,Beauty,DEBIT CARD,476.49,30,6,7.0,2.0,No,Tier 3,1.0,Unknown Status,Normal Order,333.54,Standard Order
ORD1127,CUST114,Electronics,CREDIT CARD,625.35,0,5,7.0,1.0,No,Tier 3,2.0,Unknown Status,Normal Order,625.35,Standard Order
ORD1128,CUST144,Fashion,CREDIT CARD,2935.33,30,5,7.0,5.0,No,Tier 3,2.0,Unknown Status,Normal Order,2054.73,Loyal & Satisfied
ORD1129,CUST164,Books,UPI,860.52,10,6,7.0,5.0,No,Tier 2,1.0,Unknown Status,Normal Order,774.47,Standard Order
ORD1130,CUST188,Electronics,CREDIT CARD,2830.09,50,6,7.0,3.0,No,Tier 1,1.0,Unknown Status,Normal Order,1415.04,Standard Order
ORD1132,CUST108, Home ,UPI,492.51,50,4,7.0,2.0,No,Tier 1,3.0,Severe Delay,Normal Order,246.26,Standard Order
ORD1133,CUST187,Beauty,UPI,1262.23,20,5,7.0,5.0,No,Tier 1,2.0,Unknown Status,Normal Order,1009.78,Standard Order
ORD1134,CUST228,Books,CREDIT CARD,1896.95,30,7,7.0,4.0,No,Tier 2,0.0,On-Time,Normal Order,1327.86,Loyal & Satisfied
ORD1135,CUST335,Fashion,CREDIT CARD,601.89,5,5,7.0,4.0,Yes,Tier 1,2.0,Unknown Status,Normal Order,571.8,Standard Order
ORD1136,CUST235,Books,COD,2864.02,5,4,7.0,4.0,No,Tier 1,3.0,Severe Delay,Normal Order,2720.82,Loyal & Satisfied
ORD1137,CUST315,Fashion,COD,1380.62,10,6,7.0,5.0,No,Tier 1,1.0,Unknown Status,Normal Order,1242.56,Loyal & Satisfied
ORD1138,CUST162, Beauty ,COD,470.92,0,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,470.92,Standard Order
ORD1139,CUST238,Fashion,CREDIT CARD,1511.95,30,6,7.0,4.0,No,Tier 3,1.0,Unknown Status,Normal Order,1058.36,Loyal & Satisfied
ORD1140,CUST342,Home,COD,12438.25,20,6,7.0,3.0,No,Tier 1,1.0,Unknown Status,High Value Order,9950.6,Standard Order
ORD1141,CUST180,Home,UPI,444.7,30,4,7.0,4.0,No,Tier 1,3.0,Severe Delay,Normal Order,311.29,Standard Order
ORD1142,CUST235,Home,DEBIT CARD,2745.41,10,5,7.0,5.0,No,Tier 1,2.0,Unknown Status,Normal Order,2470.87,Loyal & Satisfied
ORD1143,CUST262,Home,UPI,548.48,15,6,7.0,4.0,No,Tier 1,1.0,Unknown Status,Normal Order,466.21,Standard Order
ORD1144,CUST262,Books,COD,2487.56,15,5,7.0,3.0,No,Tier 1,2.0,Unknown Status,Normal Order,2114.43,Standard Order
ORD1145,CUST132, Beauty ,DEBIT CARD,2189.65,10,2,7.0,1.0,No,Tier 2,5.0,Severe Delay,Normal Order,1970.69,Standard Order
ORD1146,CUST222,Fashion,UPI,736.06,20,7,7.0,2.0,No,Tier 1,0.0,On-Time,Normal Order,588.85,Standard Order
ORD1147,CUST104,Fashion,UPI,791.39,50,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,395.7,Standard Order
ORD1148,CUST333,Home,CREDIT CARD,2559.09,10,3,7.0,5.0,No,Tier 3,4.0,Severe Delay,Normal Order,2303.18,Loyal & Satisfied
ORD1149,CUST330,Home,DEBIT CARD,1128.3,20,7,7.0,1.0,No,Tier 2,0.0,On-Time,Normal Order,902.64,Standard Order
ORD1150,CUST349,Electronics,UPI,2168.55,5,3,7.0,4.0,No,Tier 1,4.0,Severe Delay,Normal Order,2060.12,Loyal & Satisfied
ORD1151,CUST140,Beauty,COD,440.23,10,6,7.0,4.0,No,Tier 1,1.0,Unknown Status,Normal Order,396.21,Standard Order
ORD1152,CUST127,Books,UPI,3071.48,20,7,7.0,2.0,Yes,Tier 3,0.0,On-Time,Normal Order,2457.18,Standard Order
ORD1153,CUST234,Fashion,COD,2061.39,10,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,1855.25,Loyal & Satisfied
ORD1154,CUST300, Electronics ,CREDIT CARD,3761.81,10,7,7.0,3.0,No,Tier 3,0.0,On-Time,Normal Order,3385.63,Standard Order
ORD1155,CUST171,Electronics,CREDIT CARD,412.99,50,6,7.0,4.0,Yes,Tier 3,1.0,Unknown Status,Normal Order,206.5,High Risk Transaction
ORD1156,CUST111,Fashion,CREDIT CARD,1548.47,50,4,7.0,5.0,Yes,Tier 3,3.0,Severe Delay,Normal Order,774.24,High Risk Transaction
ORD1157,CUST261,Books,DEBIT CARD,1571.14,20,3,7.0,4.0,No,Tier 3,4.0,Severe Delay,Normal Order,1256.91,Loyal & Satisfied
ORD1158,CUST132, Electronics ,COD,854.18,20,6,7.0,2.0,Yes,Tier 2,1.0,Unknown Status,Normal Order,683.34,Standard Order
ORD1160,CUST346,Beauty,UPI,258.08,10,7,7.0,4.0,No,Tier 3,0.0,On-Time,Normal Order,232.27,Standard Order
ORD1161,CUST250,Books,UPI,2254.81,15,7,7.0,5.0,No,Tier 2,0.0,On-Time,Normal Order,1916.59,Loyal & Satisfied
ORD1162,CUST161,Electronics,COD,1395.5,10,6,7.0,2.0,No,Tier 1,1.0,Unknown Status,Normal Order,1255.95,Standard Order
ORD1163,CUST315,Books,UPI,289.21,10,5,7.0,1.0,No,Tier 2,2.0,Unknown Status,Normal Order,260.29,Standard Order
ORD1164,CUST136,Fashion,COD,1912.7,20,7,7.0,1.0,No,Tier 2,0.0,On-Time,Normal Order,1530.16,Standard Order
ORD1165,CUST198, Home ,UPI,1143.24,10,5,7.0,3.0,No,Tier 3,2.0,Unknown Status,Normal Order,1028.92,Standard Order
ORD1166,CUST271,Electronics,CREDIT CARD,252.6,30,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,176.82,Standard Order
ORD1167,CUST203,Beauty,DEBIT CARD,5440.35,10,5,7.0,4.0,No,Tier 1,2.0,Unknown Status,High Value Order,4896.32,Loyal & Satisfied
ORD1169,CUST318,Books,DEBIT CARD,1278.94,50,4,7.0,3.0,Yes,Tier 3,3.0,Severe Delay,Normal Order,639.47,High Risk Transaction
ORD1170,CUST134,Fashion,DEBIT CARD,347.53,15,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,295.4,Standard Order
ORD1171,CUST292,Electronics,UPI,2307.43,20,7,7.0,2.0,Yes,Tier 1,0.0,On-Time,Normal Order,1845.94,Standard Order
ORD1172,CUST326, Books ,UPI,1215.71,10,7,7.0,4.0,No,Tier 1,0.0,On-Time,Normal Order,1094.14,Standard Order
ORD1173,CUST200,Home,UPI,740.27,30,5,7.0,4.0,Yes,Tier 2,2.0,Unknown Status,Normal Order,518.19,High Risk Transaction
ORD1174,CUST274, Fashion ,UPI,1214.19,30,2,7.0,5.0,No,Tier 1,5.0,Severe Delay,Normal Order,849.93,Standard Order
ORD1175,CUST305,Electronics,UPI,1308.61,50,5,7.0,4.0,No,Tier 1,2.0,Unknown Status,Normal Order,654.3,Standard Order
ORD1176,CUST230,Beauty,UPI,1440.74,30,2,7.0,3.0,Yes,Tier 2,5.0,Severe Delay,Normal Order,1008.52,High Risk Transaction
ORD1177,CUST100,Books,CREDIT CARD,1073.01,5,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,1019.36,Standard Order
ORD1178,CUST104,Fashion,UPI,1596.18,0,3,7.0,4.0,No,Tier 1,4.0,Severe Delay,Normal Order,1596.18,Loyal & Satisfied
ORD1179,CUST317,Fashion,CREDIT CARD,3965.05,15,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,3370.29,Loyal & Satisfied
ORD1180,CUST346,Home,DEBIT CARD,874.76,50,6,7.0,4.0,No,Tier 1,1.0,Unknown Status,Normal Order,437.38,Standard Order
ORD1181,CUST241,Home,COD,2140.39,50,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,1070.2,Loyal & Satisfied
ORD1183,CUST126,Beauty,UPI,1113.15,5,4,7.0,4.0,No,Tier 1,3.0,Severe Delay,Normal Order,1057.49,Standard Order
ORD1184,CUST236,Electronics,UPI,1079.01,10,6,7.0,2.0,No,Tier 2,1.0,Unknown Status,Normal Order,971.11,Standard Order
ORD1185,CUST306,Electronics,COD,1582.4,10,7,7.0,4.0,No,Tier 3,0.0,On-Time,Normal Order,1424.16,Loyal & Satisfied
ORD1186,CUST114,Beauty,UPI,1542.55,20,3,7.0,5.0,No,Tier 2,4.0,Severe Delay,Normal Order,1234.04,Loyal & Satisfied
ORD1187,CUST189,Beauty,COD,2664.41,20,5,7.0,3.0,No,Tier 1,2.0,Unknown Status,Normal Order,2131.53,Standard Order
ORD1188,CUST141,Books,CREDIT CARD,1170.78,20,6,7.0,4.0,Yes,Tier 1,1.0,Unknown Status,Normal Order,936.62,Standard Order
ORD1189,CUST223,Home,CREDIT CARD,8529.02,5,5,7.0,4.0,No,Tier 3,2.0,Unknown Status,High Value Order,8102.57,Loyal & Satisfied
ORD1190,CUST304,Electronics,UPI,291.97,10,3,7.0,4.0,No,Tier 1,4.0,Severe Delay,Normal Order,262.77,Standard Order
ORD1191,CUST278,Home,CREDIT CARD,204.76,0,6,7.0,5.0,No,Tier 2,1.0,Unknown Status,Normal Order,204.76,Standard Order
ORD1192,CUST162,Home,UPI,1733.3,15,3,7.0,5.0,Yes,Tier 1,4.0,Severe Delay,Normal Order,1473.3,Standard Order
ORD1193,CUST195,Beauty,UPI,731.66,20,2,7.0,4.0,No,Tier 1,5.0,Severe Delay,Normal Order,585.33,Standard Order
ORD1194,CUST330,Books,UPI,612.41,20,3,7.0,5.0,No,Tier 3,4.0,Severe Delay,Normal Order,489.93,Standard Order
ORD1195,CUST340,Fashion,DEBIT CARD,760.73,50,5,7.0,4.0,No,Tier 2,2.0,Unknown Status,Normal Order,380.36,Standard Order
ORD1196,CUST151,Books,DEBIT CARD,643.67,10,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,579.3,Standard Order
ORD1197,CUST195,Books,UPI,246.91,10,3,7.0,5.0,No,Tier 1,4.0,Severe Delay,Normal Order,222.22,Standard Order
ORD1198,CUST231,Home,COD,5538.52,5,7,7.0,4.0,No,Tier 1,0.0,On-Time,High Value Order,5261.59,Loyal & Satisfied
